sample_id,depth_outlier,het_count,het_ratio,idr_baf,mean_depth,median_depth,p10,p90,sampled_sites,call_rate,PC1,PC2,PC3,PC4,ancestry-prediction,ancestry-prob
Y09802026,False,2543,0.3874,0.2399,53.03,42,0.3697,0.6096,6437,1,-1.158,1.422,0.1029,-0.386,EAS,0.9951
Y09802055,False,2573,0.3919,0.2501,49.81,40,0.3617,0.6118,6436,1,-1.111,1.459,0.06492,-0.4491,EAS,0.9953
Y09802058,False,2602,0.3963,0.2363,53.69,42,0.3682,0.6045,6435,1,-1.087,1.501,-0.0453,-0.5428,EAS,0.9952
Y09859865,False,2563,0.3904,0.2479,50.81,40,0.3625,0.6104,6447,1,-1.127,1.395,0.1688,-0.4938,EAS,0.9953
